Circuit, Time (sec), Energy (joules), Circuits Check, Failed state
log_q100000_d100,217.25,18357.88,EQUIVALENT,None
log_q10000_d100,2.47,208.74,EQUIVALENT,None
log_q1000_d100,0.04,3.33,NOT EQUIVALENT,0
log_q101000_d100,120.59,10190.22,NOT EQUIVALENT,0
log_q102000_d100,245.18,20718.09,EQUIVALENT,None
log_q103000_d100,124.68,10535.11,NOT EQUIVALENT,0
log_q104000_d100,127.39,10764.32,NOT EQUIVALENT,0
log_q105000_d100,129.81,10968.70,NOT EQUIVALENT,0
log_q106000_d100,263.70,22282.39,EQUIVALENT,None
log_q107000_d100,134.74,11385.12,NOT EQUIVALENT,0
log_q108000_d100,136.64,11546.44,NOT EQUIVALENT,0
log_q109000_d100,279.68,23633.14,EQUIVALENT,None
log_q110000_d100,285.74,24144.66,EQUIVALENT,None
log_q11000_d100,2.79,235.73,EQUIVALENT,None
log_q111000_d100,144.54,12213.94,NOT EQUIVALENT,0
log_q112000_d100,147.06,12426.37,NOT EQUIVALENT,0
log_q113000_d100,150.07,12680.55,NOT EQUIVALENT,0
log_q114000_d100,152.74,12906.79,NOT EQUIVALENT,0
log_q115000_d100,154.56,13060.16,NOT EQUIVALENT,0
log_q116000_d100,157.89,13341.59,NOT EQUIVALENT,0
log_q117000_d100,160.48,13560.74,NOT EQUIVALENT,0
log_q118000_d100,326.23,27566.81,EQUIVALENT,None
log_q119000_d100,330.45,27923.06,EQUIVALENT,None
log_q120000_d100,168.13,14207.03,NOT EQUIVALENT,0
log_q12000_d100,2.00,168.88,NOT EQUIVALENT,0
log_q121000_d100,171.19,14465.24,NOT EQUIVALENT,0
log_q122000_d100,173.92,14696.55,NOT EQUIVALENT,0
log_q123000_d100,176.83,14942.18,NOT EQUIVALENT,0
log_q124000_d100,179.76,15189.83,NOT EQUIVALENT,0
log_q125000_d100,182.18,15394.50,NOT EQUIVALENT,0
log_q126000_d100,184.90,15624.03,NOT EQUIVALENT,0
log_q127000_d100,188.91,15962.62,NOT EQUIVALENT,0
log_q128000_d100,191.91,16216.29,NOT EQUIVALENT,0
log_q129000_d100,194.04,16396.36,NOT EQUIVALENT,0
log_q130000_d100,197.27,16669.61,NOT EQUIVALENT,0
log_q13000_d100,3.93,331.89,EQUIVALENT,None
log_q131000_d100,200.33,16927.88,NOT EQUIVALENT,0
log_q132000_d100,372.15,31446.32,EQUIVALENT,None
log_q133000_d100,359.99,30419.22,EQUIVALENT,None
log_q134000_d100,213.18,18013.47,NOT EQUIVALENT,0
log_q135000_d100,371.01,31350.22,EQUIVALENT,None
log_q136000_d100,214.96,18163.83,NOT EQUIVALENT,0
log_q137000_d100,381.84,32265.18,EQUIVALENT,None
log_q138000_d100,221.70,18733.49,NOT EQUIVALENT,0
log_q139000_d100,223.91,18920.45,NOT EQUIVALENT,0
log_q140000_d100,228.47,19305.45,NOT EQUIVALENT,0
log_q14000_d100,4.63,391.24,EQUIVALENT,None
log_q141000_d100,443.65,37488.58,EQUIVALENT,None
log_q142000_d100,233.63,19742.04,NOT EQUIVALENT,0
log_q143000_d100,237.03,20029.11,NOT EQUIVALENT,0
log_q144000_d100,443.32,37460.51,EQUIVALENT,None
log_q145000_d100,467.73,39523.37,EQUIVALENT,None
log_q146000_d100,247.11,20881.21,NOT EQUIVALENT,0
log_q147000_d100,252.17,21308.06,NOT EQUIVALENT,0
log_q148000_d100,487.71,41211.17,EQUIVALENT,None
log_q149000_d100,492.42,41609.71,EQUIVALENT,None
log_q150000_d100,261.40,22088.39,NOT EQUIVALENT,0
log_q15000_d100,3.39,286.70,NOT EQUIVALENT,0
log_q151000_d100,264.76,22372.23,NOT EQUIVALENT,0
log_q152000_d100,267.40,22595.03,NOT EQUIVALENT,0
log_q153000_d100,271.54,22945.06,NOT EQUIVALENT,0
log_q154000_d100,504.34,42616.42,EQUIVALENT,None
log_q155000_d100,278.02,23493.06,NOT EQUIVALENT,0
log_q156000_d100,515.90,43593.74,EQUIVALENT,None
log_q157000_d100,284.97,24079.89,NOT EQUIVALENT,0
log_q158000_d100,288.47,24375.59,NOT EQUIVALENT,0
log_q159000_d100,292.40,24708.12,NOT EQUIVALENT,0
log_q160000_d100,297.02,25098.47,NOT EQUIVALENT,0
log_q16000_d100,3.78,319.55,NOT EQUIVALENT,0
log_q161000_d100,577.41,48791.46,EQUIVALENT,None
log_q162000_d100,557.45,47104.64,EQUIVALENT,None
log_q163000_d100,307.26,25963.40,NOT EQUIVALENT,0
log_q164000_d100,311.18,26294.55,NOT EQUIVALENT,0
log_q165000_d100,315.22,26635.88,NOT EQUIVALENT,0
log_q166000_d100,319.00,26955.81,NOT EQUIVALENT,0
log_q167000_d100,323.10,27302.30,NOT EQUIVALENT,0
log_q168000_d100,326.91,27623.81,NOT EQUIVALENT,0
log_q169000_d100,329.75,27863.94,NOT EQUIVALENT,0
log_q170000_d100,333.02,28140.05,NOT EQUIVALENT,0
log_q17000_d100,4.24,358.14,NOT EQUIVALENT,0
log_q171000_d100,337.76,28540.30,NOT EQUIVALENT,0
log_q172000_d100,341.65,28869.84,NOT EQUIVALENT,0
log_q173000_d100,631.60,53370.61,EQUIVALENT,None
log_q174000_d100,349.71,29550.75,NOT EQUIVALENT,0
log_q175000_d100,354.54,29958.67,NOT EQUIVALENT,0
log_q176000_d100,356.19,30098.41,NOT EQUIVALENT,0
log_q177000_d100,362.39,30621.79,NOT EQUIVALENT,0
log_q178000_d100,365.42,30878.14,NOT EQUIVALENT,0
log_q179000_d100,369.02,31182.12,NOT EQUIVALENT,0
log_q180000_d100,373.83,31588.91,NOT EQUIVALENT,0
log_q18000_d100,4.70,397.02,NOT EQUIVALENT,0
log_q181000_d100,379.62,32077.74,NOT EQUIVALENT,0
log_q182000_d100,381.22,32212.83,NOT EQUIVALENT,0
log_q183000_d100,384.58,32496.98,NOT EQUIVALENT,0
log_q184000_d100,390.52,32998.54,NOT EQUIVALENT,0
log_q185000_d100,394.53,33337.55,NOT EQUIVALENT,0
log_q186000_d100,727.09,61439.46,EQUIVALENT,None
log_q187000_d100,402.15,33981.53,NOT EQUIVALENT,0
log_q188000_d100,410.09,34652.48,NOT EQUIVALENT,0
log_q189000_d100,411.06,34734.44,NOT EQUIVALENT,0
log_q190000_d100,830.72,70195.99,EQUIVALENT,None
log_q19000_d100,5.23,441.56,NOT EQUIVALENT,0
log_q191000_d100,420.93,35568.59,NOT EQUIVALENT,0
log_q192000_d100,425.20,35929.56,NOT EQUIVALENT,0
log_q193000_d100,427.40,36115.69,NOT EQUIVALENT,0
log_q194000_d100,433.78,36654.69,NOT EQUIVALENT,0
log_q195000_d100,438.19,37026.80,NOT EQUIVALENT,0
log_q196000_d100,440.16,37193.76,NOT EQUIVALENT,0
log_q197000_d100,446.24,37707.10,NOT EQUIVALENT,0
log_q198000_d100,451.36,38139.70,NOT EQUIVALENT,0
log_q199000_d100,454.93,38441.33,NOT EQUIVALENT,0
log_q200000_d100,459.52,38829.62,NOT EQUIVALENT,0
log_q20000_d100,5.73,484.44,NOT EQUIVALENT,0
log_q2000_d100,0.10,8.73,NOT EQUIVALENT,0
log_q201000_d100,465.22,39310.68,NOT EQUIVALENT,0
log_q202000_d100,468.94,39625.66,NOT EQUIVALENT,0
log_q203000_d100,864.59,73058.08,EQUIVALENT,None
log_q204000_d100,477.79,40373.61,NOT EQUIVALENT,0
log_q205000_d100,481.96,40725.49,NOT EQUIVALENT,0
log_q206000_d100,487.17,41166.01,NOT EQUIVALENT,0
log_q207000_d100,492.06,41579.13,NOT EQUIVALENT,0
log_q208000_d100,498.22,42099.34,NOT EQUIVALENT,0
log_q209000_d100,500.43,42286.67,NOT EQUIVALENT,0
log_q210000_d100,505.70,42731.47,NOT EQUIVALENT,0
log_q21000_d100,6.30,532.58,NOT EQUIVALENT,0
log_q211000_d100,1024.01,86528.71,EQUIVALENT,None
log_q212000_d100,515.82,43586.64,NOT EQUIVALENT,0
log_q213000_d100,519.33,43883.39,NOT EQUIVALENT,0
log_q214000_d100,526.44,44484.09,NOT EQUIVALENT,0
log_q215000_d100,531.07,44875.22,NOT EQUIVALENT,0
log_q216000_d100,534.35,45152.97,NOT EQUIVALENT,0
log_q217000_d100,540.02,45631.31,NOT EQUIVALENT,0
log_q218000_d100,1091.39,92222.37,EQUIVALENT,None
log_q219000_d100,549.40,46423.94,NOT EQUIVALENT,0
log_q220000_d100,553.86,46801.17,NOT EQUIVALENT,0
log_q22000_d100,6.75,570.19,NOT EQUIVALENT,0
log_q221000_d100,560.76,47384.52,NOT EQUIVALENT,0
log_q222000_d100,565.86,47814.81,NOT EQUIVALENT,0
log_q223000_d100,567.85,47983.37,NOT EQUIVALENT,0
log_q224000_d100,572.75,48397.22,NOT EQUIVALENT,0
log_q225000_d100,579.19,48941.26,NOT EQUIVALENT,0
log_q226000_d100,585.02,49434.22,NOT EQUIVALENT,0
log_q227000_d100,589.33,49798.78,NOT EQUIVALENT,0
log_q228000_d100,597.44,50483.70,NOT EQUIVALENT,0
log_q229000_d100,1205.32,101849.18,EQUIVALENT,None
log_q230000_d100,604.79,51104.83,NOT EQUIVALENT,0
log_q23000_d100,7.35,620.69,NOT EQUIVALENT,0
log_q231000_d100,611.42,51664.87,NOT EQUIVALENT,0
log_q232000_d100,617.09,52144.20,NOT EQUIVALENT,0
log_q233000_d100,620.94,52469.51,NOT EQUIVALENT,0
log_q234000_d100,1255.30,106073.04,EQUIVALENT,None
log_q235000_d100,632.93,53482.63,NOT EQUIVALENT,0
log_q236000_d100,636.69,53800.61,NOT EQUIVALENT,0
log_q237000_d100,1293.94,109337.73,EQUIVALENT,None
log_q238000_d100,649.24,54860.42,NOT EQUIVALENT,0
log_q239000_d100,1309.46,110649.19,EQUIVALENT,None
log_q240000_d100,657.69,55574.94,NOT EQUIVALENT,0
log_q24000_d100,7.94,670.58,NOT EQUIVALENT,0
log_q241000_d100,663.70,56082.86,NOT EQUIVALENT,0
log_q242000_d100,669.75,56593.58,NOT EQUIVALENT,0
log_q243000_d100,1350.49,114116.07,EQUIVALENT,None
log_q244000_d100,678.96,57371.87,NOT EQUIVALENT,0
log_q245000_d100,685.55,57929.05,NOT EQUIVALENT,0
log_q246000_d100,690.17,58319.28,NOT EQUIVALENT,0
log_q247000_d100,697.26,58918.46,NOT EQUIVALENT,0
log_q248000_d100,703.86,59475.77,NOT EQUIVALENT,0
log_q249000_d100,709.68,59967.79,NOT EQUIVALENT,0
log_q250000_d100,712.76,60228.15,NOT EQUIVALENT,0
log_q25000_d100,8.57,724.55,NOT EQUIVALENT,0
log_q251000_d100,1442.79,121915.61,EQUIVALENT,None
log_q252000_d100,1453.34,122807.34,EQUIVALENT,None
log_q253000_d100,1463.23,123643.30,EQUIVALENT,None
log_q254000_d100,736.27,62214.81,NOT EQUIVALENT,0
log_q255000_d100,743.66,62839.00,NOT EQUIVALENT,0
log_q256000_d100,749.13,63301.13,NOT EQUIVALENT,0
log_q257000_d100,752.83,63614.15,NOT EQUIVALENT,0
log_q258000_d100,762.62,64441.18,NOT EQUIVALENT,0
log_q259000_d100,768.63,64949.65,NOT EQUIVALENT,0
log_q260000_d100,802.03,67771.85,NOT EQUIVALENT,0
log_q26000_d100,18.52,1564.90,EQUIVALENT,None
log_q261000_d100,0,0,EQUIVALENT,None
log_q262000_d100,1570.94,132744.04,EQUIVALENT,None
log_q263000_d100,833.45,70426.27,NOT EQUIVALENT,0
log_q264000_d100,848.02,71658.10,NOT EQUIVALENT,0
log_q265000_d100,1638.56,138458.08,EQUIVALENT,None
log_q266000_d100,863.12,72933.43,NOT EQUIVALENT,0
log_q267000_d100,1894.28,160066.48,EQUIVALENT,None
log_q268000_d100,1872.78,158250.11,EQUIVALENT,None
log_q269000_d100,903.30,76329.08,NOT EQUIVALENT,0
log_q270000_d100,912.14,77076.23,NOT EQUIVALENT,0
log_q27000_d100,9.83,830.36,NOT EQUIVALENT,0
log_q271000_d100,0,0,EQUIVALENT,None
log_q272000_d100,931.35,78699.26,NOT EQUIVALENT,0
log_q273000_d100,943.85,79755.59,NOT EQUIVALENT,0
log_q274000_d100,957.66,80922.55,NOT EQUIVALENT,0
log_q275000_d100,951.71,80419.22,NOT EQUIVALENT,0
log_q276000_d100,984.57,83195.81,NOT EQUIVALENT,0
log_q277000_d100,1038.76,87774.89,NOT EQUIVALENT,0
log_q278000_d100,0,0,EQUIVALENT,None
log_q279000_d100,1039.20,87812.59,NOT EQUIVALENT,0
log_q280000_d100,1039.78,87861.54,NOT EQUIVALENT,0
log_q28000_d100,10.55,891.17,NOT EQUIVALENT,0
log_q281000_d100,0,0,EQUIVALENT,None
log_q282000_d100,1052.45,88932.12,NOT EQUIVALENT,0
log_q283000_d100,1047.79,88538.61,NOT EQUIVALENT,0
log_q284000_d100,2313.40,195482.21,EQUIVALENT,None
log_q285000_d100,1064.40,89941.75,NOT EQUIVALENT,0
log_q286000_d100,1078.09,91098.24,NOT EQUIVALENT,0
log_q287000_d100,0,0,EQUIVALENT,None
log_q288000_d100,1102.14,93130.87,NOT EQUIVALENT,0
log_q289000_d100,1103.30,93228.73,NOT EQUIVALENT,0
log_q290000_d100,0,0,EQUIVALENT,None
log_q29000_d100,11.24,949.43,NOT EQUIVALENT,0
log_q291000_d100,1124.06,94983.28,NOT EQUIVALENT,0
log_q292000_d100,1131.47,95608.84,NOT EQUIVALENT,0
log_q293000_d100,1154.91,97590.27,NOT EQUIVALENT,0
log_q294000_d100,1151.23,97278.53,NOT EQUIVALENT,0
log_q295000_d100,1194.82,100962.42,NOT EQUIVALENT,0
log_q296000_d100,0,0,EQUIVALENT,None
log_q297000_d100,2679.339497538749,0,EQUIVALENT,None
log_q298000_d100,1034.9315416179597,0,EQUIVALENT,None
log_q299000_d100,1044.535367660923,0,EQUIVALENT,None
log_q300000_d100,0,0,EQUIVALENT,None
log_q30000_d100,11.95,1009.46,NOT EQUIVALENT,0
log_q3000_d100,0.19,15.83,NOT EQUIVALENT,0
